,0
628,04
629,05
630,05
631,05
632,05
633,05
634,05
635,05
636,05
637,06
638,06
639,06
640,06
641,06
642,06
643,06
644,06
645,07
646,07
647,07
648,07
649,07
650,07
651,07
652,07
653,08
654,08
655,08
656,08
657,08
658,08
659,08
660,08
661,01
662,01
663,01
664,01
665,02
666,02
667,02
668,02
669,02
670,02
671,02
672,02
673,03
674,03
675,03
676,03
677,03
678,03
679,03
680,03
681,04
682,04
683,04
684,04
685,04
686,04
687,04
688,04
689,05
690,05
691,05
692,05
693,05
694,05
695,05
696,05
697,06
698,06
699,06
700,06
701,06
702,06
703,06
704,06
705,07
706,07
707,07
708,07
709,07
710,07
711,07
712,07
713,08
714,08
715,08
716,08
717,08
718,08
719,08
720,08
721,01
722,01
723,01
724,01
725,02
726,02
727,02
728,02
729,02
730,02
731,02
732,02
733,03
734,03
735,03
736,03
737,03
738,03
739,03
740,03
741,04
742,04
743,04
744,04
745,04
746,04
747,04
748,04
749,05
750,05
751,05
752,05
753,05
754,05
755,05
756,05
757,06
758,06
759,06
760,06
761,06
762,06
763,06
764,06
765,07
766,07
767,07
768,07
769,07
770,07
771,07
772,07
773,08
774,08
775,08
776,08
777,08
778,08
779,08
780,08
781,01
782,01
783,01
784,01
785,02
786,02
787,02
788,02
789,02
790,02
791,02
792,03
793,03
794,03
795,02
796,03
797,03
798,03
799,03
800,03
801,04
802,04
803,04
804,04
805,04
806,04
807,04
808,04
809,05
810,05
811,05
812,05
813,05
814,05
815,05
816,05
817,06
818,06
819,06
820,06
821,06
822,06
823,06
824,06
825,07
826,07
827,07
828,07
829,07
830,07
831,07
832,08
833,07
834,08
835,08
836,08
837,08
838,08
839,08
840,08
841,01
842,01
843,01
844,02
845,01
846,02
847,02
848,02
849,02
850,02
851,02
852,03
853,02
854,03
855,03
856,03
857,03
858,03
859,03
860,03
861,04
862,04
863,04
864,04
865,04
866,04
867,04
868,04
869,05
870,05
871,05
872,05
873,05
874,05
875,05
876,05
877,06
878,06
879,06
880,06
881,06
882,06
883,06
884,06
885,07
886,07
887,07
888,07
889,07
890,07
891,07
892,07
893,08
894,08
895,08
896,08
897,08
898,08
899,08
900,08
901,01
902,01
903,01
904,02
905,01
906,02
907,02
908,02
909,02
910,02
911,02
912,02
913,03
914,03
915,03
916,03
917,03
918,03
919,03
920,04
921,03
922,04
923,04
924,04
925,04
926,04
927,04
928,05
929,04
930,05
931,05
932,05
933,05
934,05
935,05
936,05
937,06
938,06
939,06
940,06
941,06
942,06
943,06
944,06
945,07
946,07
947,07
948,07
949,07
950,07
951,07
952,08
953,07
954,08
955,08
956,08
957,08
958,08
959,08
960,08
961,01
962,01
963,01
964,01
965,02
966,02
967,02
968,02
969,02
970,02
971,02
972,03
973,02
974,03
975,03
976,03
977,03
978,03
979,03
980,03
981,04
982,04
983,04
984,04
985,04
986,04
987,04
988,04
989,05
990,05
991,05
992,05
993,05
994,05
995,05
996,05
997,06
998,06
999,06
1000,06
1001,06
1002,06
1003,06
1004,06
1005,07
1006,07
1007,07
1008,07
1009,07
1010,07
1011,07
1012,07
1013,08
1014,08
1015,08
1016,08
1017,08
1018,08
1019,08
1020,08
1021,01
1022,01
1023,01
1024,01
1025,02
1026,02
1027,02
1028,02
1029,02
1030,02
1031,02
1032,02
1033,03
1034,03
1035,03
1036,03
1037,03
1038,03
1039,03
1040,03
1041,04
1042,04
1043,04
1044,04
1045,04
1046,04
1047,04
1048,04
1049,05
1050,05
1051,05
1052,05
1053,05
1054,05
1055,05
1056,05
1057,06
1058,06
1059,06
1060,06
1061,06
1062,06
1063,06
1064,06
1065,07
1066,07
1067,07
1068,07
1069,07
1070,07
1071,07
1072,07
1073,08
1074,08
1075,08
1076,08
1077,08
1078,08
1079,08
1080,08
1081,01
1082,01
1083,01
1084,01
1085,02
1086,02
1087,02
1088,02
1089,02
1090,02
1091,02
1092,02
1093,03
1094,03
1095,03
1096,03
1097,03
1098,03
1099,03
1100,04
1101,03
1102,04
1103,04
1104,04
1105,04
1106,04
1107,04
1108,04
1109,05
1110,05
1111,05
1112,05
1113,05
1114,05
1115,05
1116,06
1117,05
1118,06
1119,06
1120,06
1121,06
1122,06
1123,06
1124,06
1125,07
1126,07
1127,07
1128,07
1129,07
1130,07
1131,07
1132,08
1133,08
1134,07
1135,08
1136,08
1137,08
1138,08
1139,08
1140,08
1141,01
1142,01
1143,01
1144,01
1145,02
1146,02
1147,02
1148,02
1149,02
1150,02
1151,02
1152,02
1153,03
1154,03
1155,03
1156,03
1157,03
1158,03
1159,03
1160,03
1161,04
1162,04
1163,04
1164,04
1165,04
1166,04
1167,04
1168,04
1169,05
1170,05
1171,05
1172,05
1173,05
1174,05
1175,05
1176,05
1177,06
1178,06
1179,06
1180,06
1181,06
1182,06
1183,06
1184,06
1185,07
1186,07
1187,07
1188,07
1189,07
1190,07
1191,07
1192,07
1193,08
1194,08
1195,08
1196,08
1197,08
1198,08
1199,08
1200,08
1201,01
1202,01
1203,01
1204,01
1205,02
1206,02
1207,02
1208,02
1209,02
1210,02
1211,02
1212,02
1213,03
1214,03
1215,03
1216,03
1217,03
1218,03
1219,03
1220,03
1221,04
1222,04
1223,04
1224,04
1225,04
1226,04
1227,04
1228,04
1229,05
1230,05
1231,05
1232,05
1233,05
1234,05
1235,05
1236,05
1237,06
1238,06
1239,06
1240,06
1241,06
1242,06
1243,06
1244,06
1245,07
1246,07
1247,07
1248,07
1249,07
1250,07
1251,07
1252,07
1253,08
1254,08
1255,08
1256,08
1257,08
1258,08
1259,08
1260,08
1261,01
1262,01
1263,01
1264,01
1265,02
1266,02
1267,02
1268,02
1269,02
1270,02
1271,02
1272,02
1273,03
1274,03
1275,03
1276,03
1277,03
1278,03
1279,03
1280,03
1281,04
1282,04
1283,04
1284,04
1285,04
1286,04
1287,04
1288,04
1289,05
1290,05
1291,05
1292,05
1293,05
1294,05
1295,05
1296,05
1297,06
1298,06
1299,06
1300,06
1301,06
1302,06
1303,06
1304,06
1305,07
1306,07
1307,07
1308,07
1309,07
1310,07
1311,07
1312,07
1313,08
1314,08
1315,08
1316,08
1317,08
1318,08
1319,08
1320,08
1321,01
1322,01
1323,01
1324,01
1325,02
1326,02
1327,02
1328,02
1329,02
1330,02
1331,02
1332,02
1333,03
1334,03
1335,03
1336,03
1337,03
1338,03
1339,03
1340,03
1341,04
1342,04
1343,04
1344,04
1345,04
1346,04
1347,04
1348,05
1349,04
1350,05
1351,05
1352,05
1353,05
1354,05
1355,05
1356,05
1357,06
1358,06
1359,06
1360,06
1361,06
1362,06
1363,06
1364,06
1365,07
1366,07
1367,07
1368,07
1369,07
1370,07
1371,07
1372,07
1373,08
1374,08
1375,08
1376,08
1377,08
1378,08
1379,08
1380,08
1381,01
1382,01
1383,01
1384,01
1385,02
1386,02
1387,02
1388,02
1389,02
1390,02
1391,02
1392,02
1393,03
1394,03
1395,03
1396,03
1397,03
1398,03
1399,03
1400,03
1401,04
1402,04
1403,04
1404,04
1405,04
1406,04
1407,04
1408,04
1409,05
1410,05
1411,05
1412,05
1413,05
1414,05
1415,05
1416,06
1417,05
1418,06
1419,06
1420,06
1421,06
1422,06
1423,06
1424,06
1425,07
1426,07
1427,07
1428,07
1429,07
1430,07
1431,07
1432,07
1433,08
1434,08
1435,08
1436,08
1437,08
1438,08
1439,08
1440,08
1441,05
1442,05
1443,05
1444,05
1445,05
1446,05
1447,05
1448,05
1449,05
1450,05
1451,05
1452,05
1453,05
1454,05
1455,05
1456,05
1457,05
1458,05
1459,05
1460,05
1461,05
1462,05
1463,05
1464,05
1465,05
1466,05
1467,05
1468,05
1469,05
1470,05
1471,05
1472,05
1473,05
1474,05
1475,05
1476,05
1477,05
1478,05
1479,05
1480,05
1481,05
1482,05
1483,05
1484,05
1485,05
1486,05
1487,05
1488,05
1489,05
1490,05
1491,05
1492,05
1493,05
1494,05
1495,05
1496,05
1497,05
1498,05
1499,05
1500,05
1501,05
1502,05
1503,05
1504,05
1505,05
1506,05
1507,05
1508,05
1509,05
1510,05
1511,05
1512,05
1513,05
1514,05
1515,05
1516,05
1517,05
1518,05
1519,05
1520,05
1521,05
1522,05
1523,05
1524,05
1525,05
1526,05
1527,05
1528,05
1529,05
1530,05
1531,05
1532,05
1533,05
1534,05
1535,05
1536,05
1537,05
1538,05
1539,05
1540,05
1541,05
1542,05
1543,05
1544,05
1545,05
1546,05
1547,05
1548,05
1549,05
1550,05
1551,05
1552,05
1553,05
1554,05
1555,05
1556,05
1557,05
1558,05
1559,05
1560,05
1561,05
1562,05
1563,05
1564,05
1565,05
1566,05
1567,05
1568,05
1569,05
1570,05
1571,05
1572,05
1573,05
1574,05
1575,05
1576,05
1577,05
1578,05
1579,05
1580,05
1581,05
1582,05
1583,05
1584,05
1585,05
1586,05
1587,05
1588,05
1589,05
1590,05
1591,05
1592,05
1593,05
1594,05
1595,05
1596,05
1597,05
1598,05
1599,05
1600,05
1601,05
1602,05
1603,05
1604,05
1605,05
1606,05
1607,05
1608,05
1609,05
1610,05
1611,05
1612,05
1613,05
1614,05
1615,05
1616,05
1617,05
1618,05
1619,05
1620,05
1621,05
1622,05
1623,05
1624,05
1625,05
1626,05
1627,05
1628,05
1629,05
1630,05
1631,05
1632,05
1633,05
1634,05
1635,05
1636,05
1637,05
1638,05
1639,05
1640,05
1641,07
1642,07
1643,07
1644,07
1645,07
1646,07
1647,07
1648,07
1649,07
1650,07
1651,07
1652,07
1653,07
1654,07
1655,07
1656,07
1657,07
1658,07
1659,07
1660,07
1661,07
1662,07
1663,07
1664,07
1665,07
1666,07
1667,07
1668,07
1669,07
1670,07
1671,07
1672,07
1673,07
1674,07
1675,07
1676,07
1677,07
1678,07
1679,07
1680,07
1681,07
1682,07
1683,07
1684,07
1685,07
1686,07
1687,07
1688,07
1689,07
1690,07
1691,07
1692,07
1693,07
1694,07
1695,07
1696,07
1697,07
1698,07
1699,07
1700,07
1701,07
1702,07
1703,07
1704,07
1705,07
1706,07
1707,07
1708,07
1709,07
1710,07
1711,07
1712,07
1713,07
1714,07
1715,07
1716,07
1717,07
1718,07
1719,07
1720,07
1721,07
1722,07
1723,07
1724,07
1725,07
1726,07
1727,07
1728,07
1729,07
1730,07
1731,07
1732,07
1733,07
1734,07
1735,07
1736,07
1737,07
1738,07
1739,07
1740,07
1741,07
1742,07
1743,07
1744,07
1745,07
1746,07
1747,07
1748,07
1749,07
1750,07
1751,07
1752,07
1753,07
1754,07
1755,07
1756,07
1757,07
1758,07
1759,07
1760,07
1761,07
1762,07
1763,07
1764,07
1765,07
1766,07
1767,07
1768,07
1769,07
1770,07
1771,07
1772,07
1773,07
1774,07
1775,07
1776,07
1777,07
1778,07
1779,07
1780,07
1781,07
1782,07
1783,07
1784,07
1785,07
1786,07
1787,07
1788,07
1789,07
1790,07
1791,07
1792,07
1793,07
1794,07
1795,07
1796,07
1797,07
1798,07
1799,07
1800,07
1801,07
1802,07
1803,07
1804,07
1805,07
1806,07
1807,07
1808,07
1809,07
1810,07
1811,07
1812,07
1813,07
1814,07
1815,07
1816,07
1817,07
1818,07
1819,07
1820,07
1821,07
1822,07
1823,07
1824,07
1825,07
1826,07
1827,07
1828,07
1829,07
1830,07
1831,07
1832,07
1833,07
1834,07
1835,07
1836,07
1837,07
1838,07
1839,07
1840,07
1841,06
1842,06
1843,06
1844,06
1845,06
1846,06
1847,06
1848,06
1849,06
1850,06
1851,06
1852,06
1853,06
1854,06
1855,06
1856,06
1857,06
1858,06
1859,06
1860,06
1861,06
1862,06
1863,06
1864,06
1865,06
1866,06
1867,06
1868,06
1869,06
1870,06
1871,06
1872,06
1873,06
1874,06
1875,06
1876,06
1877,06
1878,06
1879,06
1880,06
1881,06
1882,06
1883,06
1884,06
1885,06
1886,06
1887,06
1888,06
1889,06
1890,06
1891,06
1892,06
1893,06
1894,06
1895,06
1896,06
1897,06
1898,06
1899,06
1900,06
1901,06
1902,06
1903,06
1904,06
1905,06
1906,06
1907,06
1908,06
1909,06
1910,06
1911,06
1912,06
1913,06
1914,06
1915,06
1916,06
1917,06
1918,06
1919,06
1920,06
1921,06
1922,06
1923,06
1924,06
1925,06
1926,06
1927,06
1928,06
1929,06
1930,06
1931,06
1932,06
1933,06
1934,06
1935,06
1936,06
1937,06
1938,06
1939,06
1940,06
1941,06
1942,06
1943,06
1944,06
1945,06
1946,06
1947,06
1948,06
1949,06
1950,06
1951,06
1952,06
1953,06
1954,06
1955,06
1956,06
1957,06
1958,06
1959,06
1960,06
1961,06
1962,06
1963,06
1964,06
1965,06
1966,06
1967,06
1968,06
1969,06
1970,06
1971,06
1972,06
1973,06
1974,06
1975,06
1976,06
1977,06
1978,06
1979,06
1980,06
1981,06
1982,06
1983,06
1984,06
1985,06
1986,06
1987,06
1988,06
1989,06
1990,06
1991,06
1992,06
1993,06
1994,06
1995,06
1996,06
1997,06
1998,06
1999,06
2000,06
2001,06
2002,06
2003,06
2004,06
2005,06
2006,06
2007,06
2008,06
2009,06
2010,06
2011,06
2012,06
2013,06
2014,06
2015,06
2016,06
2017,06
2018,06
2019,06
2020,06
2021,06
2022,06
2023,06
2024,06
2025,06
2026,06
2027,06
2028,06
2029,06
2030,06
2031,06
2032,06
2033,06
2034,06
2035,06
2036,06
2037,06
2038,06
2039,06
2040,06
2041,03
2042,03
2043,03
2044,03
2045,03
2046,03
2047,03
2048,03
2049,03
2050,03
2051,03
2052,03
2053,03
2054,03
2055,03
2056,03
2057,03
2058,03
2059,03
2060,03
2061,03
2062,03
2063,03
2064,03
2065,03
2066,03
2067,03
2068,03
2069,03
2070,03
2071,03
2072,03
2073,03
2074,03
2075,03
2076,03
2077,03
2078,03
2079,03
2080,03
2081,03
2082,03
2083,03
2084,03
2085,03
2086,03
2087,03
2088,03
2089,03
2090,03
2091,03
2092,03
2093,03
2094,03
2095,03
2096,03
2097,03
2098,03
2099,03
2100,03
2101,03
2102,03
2103,03
2104,03
2105,03
2106,03
2107,03
2108,03
2109,03
2110,03
2111,03
2112,03
2113,03
2114,03
2115,03
2116,03
2117,03
2118,03
2119,03
2120,03
2121,03
2122,03
2123,03
2124,03
2125,03
2126,03
2127,03
2128,03
2129,03
2130,03
2131,03
2132,03
2133,03
2134,03
2135,03
2136,03
2137,03
2138,03
2139,03
2140,03
2141,03
2142,03
2143,03
2144,03
2145,03
2146,03
2147,03
2148,03
2149,03
2150,03
2151,03
2152,03
2153,03
2154,03
2155,03
2156,03
2157,03
2158,03
2159,03
2160,03
2161,03
2162,03
2163,03
2164,03
2165,03
2166,03
2167,03
2168,03
2169,03
2170,03
2171,03
2172,03
2173,03
2174,03
2175,03
2176,03
2177,03
2178,03
2179,03
2180,03
2181,03
2182,03
2183,03
2184,03
2185,03
2186,03
2187,03
2188,03
2189,03
2190,03
2191,03
2192,03
2193,03
2194,03
2195,03
2196,03
2197,03
2198,03
2199,03
2200,03
2201,03
2202,03
2203,03
2204,03
2205,03
2206,03
2207,03
2208,03
2209,03
2210,03
2211,03
2212,03
2213,03
2214,03
2215,03
2216,03
2217,03
2218,03
2219,03
2220,03
2221,03
2222,03
2223,03
2224,03
2225,03
2226,03
2227,03
2228,03
2229,03
2230,03
2231,03
2232,03
2233,03
2234,03
2235,03
2236,03
2237,03
2238,03
2239,03
2240,03
2241,01
2242,01
2243,01
2244,01
2245,01
2246,01
2247,01
2248,01
2249,01
2250,01
2251,01
2252,01
2253,01
2254,01
2255,01
2256,01
2257,01
2258,01
2259,01
2260,01
2261,01
2262,01
2263,01
2264,01
2265,01
2266,01
2267,01
2268,01
2269,01
2270,01
2271,01
2272,01
2273,01
2274,01
2275,01
2276,01
2277,01
2278,01
2279,01
2280,01
2281,01
2282,01
2283,01
2284,01
2285,01
2286,01
2287,01
2288,01
2289,01
2290,01
2291,01
2292,01
2293,01
2294,01
2295,01
2296,01
2297,01
2298,01
2299,01
2300,01
2301,01
2302,01
2303,01
2304,01
2305,01
2306,01
2307,01
2308,01
2309,01
2310,01
2311,01
2312,01
2313,01
2314,01
2315,01
2316,01
2317,01
2318,01
2319,01
2320,01
2321,01
2322,01
2323,01
2324,01
2325,01
2326,01
2327,01
2328,01
2329,01
2330,01
2331,01
2332,01
2333,01
2334,01
2335,01
2336,01
2337,01
2338,01
2339,01
2340,01
2341,01
2342,01
2343,01
2344,01
2345,01
2346,01
2347,01
2348,01
2349,01
2350,01
2351,01
2352,01
2353,01
2354,01
2355,01
2356,01
2357,01
2358,01
2359,01
2360,01
2361,01
2362,01
2363,01
2364,01
2365,01
2366,01
2367,01
2368,01
2369,01
2370,01
2371,01
2372,01
2373,01
2374,01
2375,01
2376,01
2377,01
2378,01
2379,01
2380,01
2381,01
2382,01
2383,01
2384,01
2385,01
2386,01
2387,01
2388,01
2389,01
2390,01
2391,01
2392,01
2393,01
2394,01
2395,01
2396,01
2397,01
2398,01
2399,01
2400,01
2401,01
2402,01
2403,01
2404,01
2405,01
2406,01
2407,01
2408,01
2409,01
2410,01
2411,01
2412,01
2413,01
2414,01
2415,01
2416,01
2417,01
2418,01
2419,01
2420,01
2421,01
2422,01
2423,01
2424,01
2425,01
2426,01
2427,01
2428,01
2429,01
2430,01
2431,01
2432,01
2433,01
2434,01
2435,01
2436,01
2437,01
2438,01
2439,01
2440,01
2441,08
2442,08
2443,08
2444,08
2445,08
2446,08
2447,08
2448,08
2449,08
2450,08
2451,08
2452,08
2453,08
2454,08
2455,08
2456,08
2457,08
2458,08
2459,08
2460,08
2461,08
2462,08
2463,08
2464,08
2465,08
2466,08
2467,08
2468,08
2469,08
2470,08
2471,08
2472,08
2473,08
2474,08
2475,08
2476,08
2477,08
2478,08
2479,08
2480,08
2481,08
2482,08
2483,08
2484,08
2485,08
2486,08
2487,08
2488,08
2489,08
2490,08
2491,08
2492,08
2493,08
2494,08
2495,08
2496,08
2497,08
2498,08
2499,08
2500,08
2501,08
2502,08
2503,08
2504,08
2505,08
2506,08
2507,08
2508,08
2509,08
2510,08
2511,08
2512,08
2513,08
2514,08
2515,08
2516,08
2517,08
2518,08
2519,08
2520,08
2521,08
2522,08
2523,08
2524,08
2525,08
2526,08
2527,08
2528,08
2529,08
2530,08
2531,08
2532,08
2533,08
2534,08
2535,08
2536,08
2537,08
2538,08
2539,08
2540,08
2541,08
2542,08
2543,08
2544,08
2545,08
2546,08
2547,08
2548,08
2549,08
2550,08
2551,08
2552,08
2553,08
2554,08
2555,08
2556,08
2557,08
2558,08
2559,08
2560,08
2561,08
2562,08
2563,08
2564,08
2565,08
2566,08
2567,08
2568,08
2569,08
2570,08
2571,08
2572,08
2573,08
2574,08
2575,08
2576,08
2577,08
2578,08
2579,08
2580,08
2581,08
2582,08
2583,08
2584,08
2585,08
2586,08
2587,08
2588,08
2589,08
2590,08
2591,08
2592,08
2593,08
2594,08
2595,08
2596,08
2597,08
2598,08
2599,08
2600,08
2601,08
2602,08
2603,08
2604,08
2605,08
2606,08
2607,08
2608,08
2609,08
2610,08
2611,08
2612,08
2613,08
2614,08
2615,08
2616,08
2617,08
2618,08
2619,08
2620,08
2621,08
2622,08
2623,08
2624,08
2625,08
2626,08
2627,08
2628,08
2629,08
2630,08
2631,08
2632,08
2633,08
2634,08
2635,08
2636,08
2637,08
2638,08
2639,08
2640,08
2641,04
2642,04
2643,04
2644,04
2645,04
2646,04
2647,04
2648,04
2649,04
2650,04
2651,04
2652,04
2653,04
2654,04
2655,04
2656,04
2657,04
2658,04
2659,04
2660,04
2661,04
2662,04
2663,04
2664,04
2665,04
2666,04
2667,04
2668,04
2669,04
2670,04
2671,04
2672,04
2673,04
2674,04
2675,04
2676,04
2677,04
2678,04
2679,04
2680,04
2681,04
2682,04
2683,04
2684,04
2685,04
2686,04
2687,04
2688,04
2689,04
2690,04
2691,04
2692,04
2693,04
2694,04
2695,04
2696,04
2697,04
2698,04
2699,04
2700,04
2701,04
2702,04
2703,04
2704,04
2705,04
2706,04
2707,04
2708,04
2709,04
2710,04
2711,04
2712,04
2713,04
2714,04
2715,04
2716,04
2717,04
2718,04
2719,04
2720,04
2721,04
2722,04
2723,04
2724,04
2725,04
2726,04
2727,04
2728,04
2729,04
2730,04
2731,04
2732,04
2733,04
2734,04
2735,04
2736,04
2737,04
2738,04
2739,04
2740,04
2741,04
2742,04
2743,04
2744,04
2745,04
2746,04
2747,04
2748,04
2749,04
2750,04
2751,04
2752,04
2753,04
2754,04
2755,04
2756,04
2757,04
2758,04
2759,04
2760,04
2761,04
2762,04
2763,04
2764,04
2765,04
2766,04
2767,04
2768,04
2769,04
2770,04
2771,04
2772,04
2773,04
2774,04
2775,04
2776,04
2777,04
2778,04
2779,04
2780,04
2781,04
2782,04
2783,04
2784,04
2785,04
2786,04
2787,04
2788,04
2789,04
2790,04
2791,04
2792,04
2793,04
2794,04
2795,04
2796,04
2797,04
2798,04
2799,04
2800,04
2801,04
2802,04
2803,04
2804,04
2805,04
2806,04
2807,04
2808,04
2809,04
2810,04
2811,04
2812,04
2813,04
2814,04
2815,04
2816,04
2817,04
2818,04
2819,04
2820,04
2821,04
2822,04
2823,04
2824,04
2825,04
2826,04
2827,04
2828,04
2829,04
2830,04
2831,04
2832,04
2833,04
2834,04
2835,04
2836,04
2837,04
2838,04
2839,04
2840,04
